2576.15,2505,2549,2577,2600,2632,4.76295,100,-13.9,100
442.6,363,395,427,501.5,531,0.8638,100,-14.5,100
719.1,430,447.5,477.5,514.5,2177,1.31145,100,-16.3,100
641.25,353,370,377.5,392.5,2204,1.18765,100,-15.8,100
2535.3,2486,2530,2538.5,2544.5,2564,4.70105,100,-14,100
450.3,335,394,450.5,492,629,0.91515,100,-14.6,100
709.15,398,449.5,474.5,499.5,2131,1.3495,100,-16.3,100
637.6,359,367.5,375,400.5,2168,1.20105,100,-15.8,100
2886.55,2739,2830.5,2861,3000,3000,4.0452,70,-13.5,100
672.35,467,522,621,712.5,1303,1.00665,100,-14.1,100
2220.6,42,2065,2393,2783,3000,3.30755,70,-12.4,85
1212.9,8,28,1545,1705,2934,1.452,65,-9.8,65
2876.7,2729,2819,2845,3000,3000,3.7986,70,-13.6,100
659.45,479,531.5,576.5,708,1311,1.01485,100,-14.1,100
2364.9,42,2168,2462,2986.5,3000,3.3087,70,-13.2,90
1406.6,8,655,1571,2035,2986,1.70135,75,-11.2,75
