3000,3000,3000,3000,3000,3000,4.1597,0,-12.5,100
790.4,619,652.5,810,873,1003,4.5921,100,-14,100
825.4,645,745,797,896,1208,1.18405,100,-14.8,100
895.2,651,806.5,916.5,971.5,1148,1.26145,100,-14.3,100
3000,3000,3000,3000,3000,3000,4.2312,0,-12.5,100
708.15,510,582.5,682.5,787.5,1136,3.85515,100,-14.1,100
757.7,623,668.5,747,817.5,971,1.1115,100,-14.8,100
739.55,76,704.5,837,915.5,997,1.0655,85,-12.7,85
