0,0,1,25,0.84714,8.34,5,7,8,9,19,0.00384,100,-17,100
0,0,1,25,0.84714,12.4,5,7,10,13,54,0.00416,100,-16.4,100
0,0,1,25,0.84714,31.92,5,8,10,13,1000,0.00936,98,-16.2,98
0,0,1,25,0.84714,7.5,5,6,7,9,11,0.00336,100,-17.1,100
0,0,1,25,0.84714,9.46,5,7,9,11,20,0.00324,100,-16.5,100
0,0,1,25,0.84714,9.62,5,7,9,11,18,0.00284,100,-16.5,100
0,0,1,25,0.84714,10.96,4,6,9,12,34,0.0044,100,-16.6,100
0,0,1,25,0.84714,15.4,4,6,9,13,225,0.00544,100,-16.6,100
0,0,1,25,0.84714,9.6,4,6,8,12,24,0.00406,100,-16.4,100
0,0,1,25,0.84714,10,4,6,9,12,25,0.00374,100,-16.5,100
0,0,1,250,0.3079,12.06,9,11,12,13,22,0.0468,100,-15.5,100
0,0,1,250,0.3079,92.76,13,22,27.5,44,1000,0.3513,94,-13.9,94
0,0,1,250,0.3079,282.2,14,23,30.5,1000,1000,1.08664,74,-12.2,76
0,0,1,250,0.3079,9.76,7,9,10,11,14,0.0381,100,-15.9,100
0,0,1,250,0.3079,13.8,8,11,14,16,21,0.05284,100,-15.1,100
0,0,1,250,0.3079,14.18,8,12,14,17,23,0.05314,100,-15.4,100
0,0,1,250,0.3079,27.4,12,21,26.5,33,47,0.1242,100,-14.9,100
0,0,1,250,0.3079,27.82,11,22,26,32,51,0.12224,100,-14.7,100
0,0,1,250,0.3079,17.1,9,15,16.5,19,31,0.0758,100,-15.1,100
0,0,1,250,0.3079,17.02,11,14,16.5,19,29,0.07372,100,-15,100
