42.64,NaN,0.01084,1,-15.47889,100
14.58,NaN,0.00402,1,-15.87778,100
6.5,NaN,0.0032,1,-16.57192,100
15.26,1.6,0.01939,1,-14.12648,100
NaN,NaN,0.01161,1,-14.49158,100
210.52,NaN,0.05022,0.88,-13.13063,90
20.16,NaN,0.005,1,-14.78964,100
7.9,NaN,0.00338,1,-15.4599,100
120.68,1.86,0.11819,0.94,-13.81111,94
NaN,NaN,0.01539,1,-14.48806,100
143.42,NaN,0.03336,0.96,-14.9736,98
82.48,NaN,0.01968,1,-15.25965,100
20.08,NaN,0.00806,1,-16.06319,100
68.24,1.9,0.06655,0.98,-14.07242,98
NaN,NaN,0.0821,0.96,-13.81867,96
48.58,NaN,0.0117,1,-15.57081,100
15.46,NaN,0.00384,1,-15.76955,100
7.88,NaN,0.00338,1,-16.53786,100
21.14,1.5,0.02199,1,-13.99178,100
NaN,NaN,0.01999,1,-14.47954,100
102.96,1.28,6.58222,0.98,-13.0001,98
NaN,NaN,1.18398,1,-14.35071,100
